trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
369,False,"{'a': 0.6, 'e': 0.024972002042276155}",25,10,13.15171824452468,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
370,False,"{'a': 0.6, 'e': 0.024723526470339388}",20,10,15.522316431559885,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.6, 'e': 0.02447752327165267}",30,20,17.560424104264715,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.6, 'e': 0.024233967845691113}",20,13,14.081168180172627,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.6, 'e': 0.023992835836709175}",25,11,25.385092148351447,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.6, 'e': 0.023754103131304997}",20,8,23.897659016883985,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'a': 0.6, 'e': 0.023517745856009107}",20,15,11.275608928989321,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.6, 'e': 0.023283740374897}",25,17,13.886721572285946,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.6, 'e': 0.02305206328722557}",25,18,13.862283177733065,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.6, 'e': 0.02282269142509297}",30,12,25.149001439972917,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.6, 'e': 0.022595601851121864}",30,17,20.79910798740552,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
380,False,"{'a': 0.6, 'e': 0.02237077185616559}",25,20,11.126397891081618,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.6, 'e': 0.022148178957037315}",30,22,4.0512472718346455,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
382,False,"{'a': 0.6, 'e': 0.02192780089426161}",35,15,38.318697626888365,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.6, 'e': 0.02170961562984857}",30,15,28.004993999237303,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.6, 'e': 0.021493601345089923}",25,12,24.876160355784375,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.6, 'e': 0.02127973643837717}",25,20,11.376637306070286,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.6, 'e': 0.021067999523041434}",35,21,25.98679792317035,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
